ID,Severity,Role,Area,Feature,Title,Steps,Expected,Actual,RootCauseHypothesis,FixRecommendation,Status
QGX-001,Critical,All,Database RLS,Messaging,Group/DM message mutation over-permission,"1) Sign in as non-sender participant (group member or DM receiver). 2) Run update on messages body/deleted for message not authored by self.","Only sender can edit/delete body; receiver only mark read.","Update policy allows broad updates for receivers/group members.","RLS update policy is role-wide and not column-scoped.","Split policies: sender-only edit/delete body fields; receiver-only read flag update; optionally use RPC for controlled updates.",Open
QGX-002,High,Parent,Database RLS,Report Comments,Parents can read report comments beyond linked children,"1) Sign in as Parent A. 2) Query report_comments table directly.","Parent should only see comments for linked students.","Policy grants select to any user with parent role.","Policy lacks parent_students linkage predicate.","Update report_comments_select to join parent_students on student_id for parent role.",Open
QGX-003,High,All,Database RLS,Profiles,Overly broad profile data exposure,"1) Sign in as authenticated user. 2) Query profiles with select *.","Users should see limited fields or only relevant profiles.","Any authenticated user can read full profile rows.","profiles_select policy uses auth.role() = authenticated.","Narrow profile select policy and create a safe view for public profile fields.",Open
QGX-004,High,All,Database RLS,Activity Log,Global activity log readable by all users,"1) Sign in as any non-admin user. 2) Query activity_log.","Activity log should be admin/ops-visible only.","Policy allows select using true.","Permissive read policy without role check.","Restrict activity_log_select to admin role; optionally teacher scoped logs.",Open
QGX-005,High,All,Storage Policy,Attachments,Potential privacy leak via public bucket,"1) Upload message/course attachment. 2) Access public URL unauthenticated.","Sensitive attachments should require auth or signed URL.","Bucket configured as public.","storage.buckets public=true for course-files bucket.","Split buckets by sensitivity or use private bucket + signed URLs for private assets.",Open
QGX-006,Medium,Student,API submit-test,Scheduling,No explicit start-time block in server scoring route,"1) Submit before scheduled start if UI bypassed. 2) Observe API behavior.","Submission should be rejected before start window.","Route computes scheduledStart but only checks end deadline.","Missing now < scheduledStart guard.","Add early-submission check with 403 and clear error reason.",Open
QGX-007,Medium,Teacher/Student,Realtime Messaging,Inbox Sync,message_groups realtime dependency not fully documented in SQL guidance,"1) Rely only on documented replication toggles. 2) Create/update message group. 3) Observe sidebar sync.","Thread list should update consistently for group mutations.","Messaging listens to message_groups changes, but replication guidance does not mention message_groups.","Drift between frontend realtime listeners and migration guidance.","Add publication for message_groups and update comments/checklist in SQL deployment notes.",Open
QGX-008,Medium,Parent,Linking,Student Linking,Weak parent-child linking trust model,"1) Enter known student QGX ID in parent dashboard. 2) Link child.","Linking should include consent/token approval.","Link can occur directly by QGX ID knowledge.","No challenge/approval flow in linking logic.","Introduce one-time parent link codes generated by student/admin + expiry + audit trail.",Open
QGX-009,Medium,Admin,Security/Operations,Batch Create API,Password reset links returned in API response,"1) Admin calls batch-create endpoint. 2) Observe resetLink in response payload.","Sensitive links should be handled securely with minimal exposure.","Endpoint returns action link directly to client.","Operational convenience over security hardening.","Restrict visibility, short expiry, audit log retrieval, and optional email-only delivery.",Open
QGX-010,Medium,All,AI API,Rate Limiting,In-memory rate limiting not multi-instance safe,"1) Run multiple app instances or cold starts. 2) Send rapid AI requests.","Rate limits should be consistent across instances.","Limit can be bypassed across instances/restarts.","Map-based memory limiter is process-local.","Use persistent/distributed limiter (Redis, Upstash, Supabase table with TTL).",Open
QGX-011,Low,Parent,UI Theming,Dashboard Sidebar,Parent role color mapping missing in sidebar badge,"1) Open parent dashboard. 2) Inspect role badge style.","Parent role should have explicit color mapping.","Parent role may fall back to undefined color token.","roleColor map excludes parent.","Add parent mapping in DashboardLayout roleColor record.",Open
QGX-012,Low,All,Frontend Performance,Images,Multiple img warnings from Next lint,"1) Run npm run lint. 2) Review no-img-element warnings.","Critical images should use next/image for optimization.","Raw img elements remain in several components.","Legacy usage not migrated.","Replace with next/image where feasible and add intentional exceptions where not feasible.",Open
QGX-013,Low,All,Toolchain,TypeScript/Eslint,TypeScript version outside ts-estree supported range,"1) Run npm run lint. 2) Read warning banner.","Toolchain versions should be aligned to supported matrix.","TypeScript 5.9.3 is above declared supported range for parser warning.","Dependency version drift.","Pin compatible TS or upgrade eslint/typescript-estree stack together.",Open
QGX-014,Medium,All,Authorization,Announcements,Any authenticated user can insert announcements,"1) Authenticated non-admin/non-teacher inserts announcement directly. 2) Query announcements.","Only authorized publisher roles should insert.","Policy allows insert for any authenticated user.","Insufficient role gating on announcements_insert.","Restrict insert policy to admin/teacher and enforce target constraints by role.",Open
